candidate,candidate_name,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct,year,party
blanks,Blanks,President / Vice President,pct_1,5,2493,0.20056157240272765,1994,0.25075225677031093,2008,Blanks
blanks,Blanks,President / Vice President,pct_2,8,2293,0.3488879197557785,1890,0.4232804232804233,2008,Blanks
blanks,Blanks,President / Vice President,pct_3,4,2503,0.15980823012385137,2130,0.18779342723004697,2008,Blanks
blanks,Blanks,President / Vice President,pct_4,7,2270,0.30837004405286345,1918,0.36496350364963503,2008,Blanks
blanks,Blanks,President / Vice President,pct_5,4,2272,0.17605633802816903,1885,0.21220159151193632,2008,Blanks
blanks,Blanks,President / Vice President,pct_6,6,2209,0.2716161158895428,1818,0.33003300330033003,2008,Blanks
baldwin,Baldwin,President / Vice President,pct_1,3,2493,0.1203369434416366,1994,0.15045135406218654,2008,Other
baldwin,Baldwin,President / Vice President,pct_2,0,2293,0,1890,0,2008,Other
baldwin,Baldwin,President / Vice President,pct_3,3,2503,0.11985617259288853,2130,0.14084507042253522,2008,Other
baldwin,Baldwin,President / Vice President,pct_4,0,2270,0,1918,0,2008,Other
baldwin,Baldwin,President / Vice President,pct_5,1,2272,0.04401408450704226,1885,0.05305039787798408,2008,Other
baldwin,Baldwin,President / Vice President,pct_6,0,2209,0,1818,0,2008,Other
barr,Barr,President / Vice President,pct_1,13,2493,0.5214600882470918,1994,0.6519558676028084,2008,Other
barr,Barr,President / Vice President,pct_2,7,2293,0.30527692978630616,1890,0.3703703703703704,2008,Other
barr,Barr,President / Vice President,pct_3,13,2503,0.519376747902517,2130,0.6103286384976526,2008,Other
barr,Barr,President / Vice President,pct_4,11,2270,0.4845814977973568,1918,0.5735140771637122,2008,Other
barr,Barr,President / Vice President,pct_5,11,2272,0.4841549295774647,1885,0.583554376657825,2008,Other
barr,Barr,President / Vice President,pct_6,16,2209,0.724309642372114,1818,0.88008800880088,2008,Other
mccain,McCain,President / Vice President,pct_1,592,2493,23.74649017248295,1994,29.689067201604814,2008,Republican
mccain,McCain,President / Vice President,pct_2,593,2293,25.861317051897075,1890,31.375661375661373,2008,Republican
mccain,McCain,President / Vice President,pct_3,666,2503,26.60807031562126,2130,31.26760563380282,2008,Republican
mccain,McCain,President / Vice President,pct_4,527,2270,23.21585903083701,1918,27.476538060479665,2008,Republican
mccain,McCain,President / Vice President,pct_5,484,2272,21.30281690140845,1885,25.676392572944295,2008,Republican
mccain,McCain,President / Vice President,pct_6,615,2209,27.840651878678138,1818,33.82838283828383,2008,Republican
mckinney,McKinney,President / Vice President,pct_1,4,2493,0.1604492579221821,1994,0.20060180541624875,2008,Other
mckinney,McKinney,President / Vice President,pct_2,3,2293,0.13083296990841692,1890,0.15873015873015872,2008,Other
mckinney,McKinney,President / Vice President,pct_3,2,2503,0.07990411506192568,2130,0.09389671361502348,2008,Other
mckinney,McKinney,President / Vice President,pct_4,4,2270,0.1762114537444934,1918,0.20855057351407716,2008,Other
mckinney,McKinney,President / Vice President,pct_5,4,2272,0.17605633802816903,1885,0.21220159151193632,2008,Other
mckinney,McKinney,President / Vice President,pct_6,1,2209,0.04526935264825713,1818,0.055005500550055,2008,Other
nader,Nader,President / Vice President,pct_1,15,2493,0.601684717208183,1994,0.7522567703109327,2008,Other
nader,Nader,President / Vice President,pct_2,10,2293,0.436109899694723,1890,0.5291005291005291,2008,Other
nader,Nader,President / Vice President,pct_3,10,2503,0.3995205753096284,2130,0.4694835680751174,2008,Other
nader,Nader,President / Vice President,pct_4,18,2270,0.7929515418502203,1918,0.9384775808133472,2008,Other
nader,Nader,President / Vice President,pct_5,15,2272,0.6602112676056338,1885,0.7957559681697612,2008,Other
nader,Nader,President / Vice President,pct_6,11,2209,0.4979628791308284,1818,0.605060506050605,2008,Other
obama,Obama,President / Vice President,pct_1,1351,2493,54.19173686321701,1994,67.75325977933801,2008,Democrat
obama,Obama,President / Vice President,pct_2,1260,2293,54.949847361535106,1890,66.66666666666666,2008,Democrat
obama,Obama,President / Vice President,pct_3,1424,2503,56.891729924091095,2130,66.85446009389672,2008,Democrat
obama,Obama,President / Vice President,pct_4,1342,2270,59.118942731277535,1918,69.9687174139729,2008,Democrat
obama,Obama,President / Vice President,pct_5,1358,2272,59.77112676056338,1885,72.0424403183024,2008,Democrat
obama,Obama,President / Vice President,pct_6,1159,2209,52.46717971933001,1818,63.751375137513755,2008,Democrat
scattered,Scattered,President / Vice President,pct_1,11,2493,0.4412354592860008,1994,0.551654964894684,2008,Scattered
scattered,Scattered,President / Vice President,pct_2,9,2293,0.3924989097252507,1890,0.4761904761904762,2008,Scattered
scattered,Scattered,President / Vice President,pct_3,8,2503,0.31961646024770274,2130,0.3755868544600939,2008,Scattered
scattered,Scattered,President / Vice President,pct_4,9,2270,0.39647577092511016,1918,0.46923879040667366,2008,Scattered
scattered,Scattered,President / Vice President,pct_5,8,2272,0.35211267605633806,1885,0.42440318302387264,2008,Scattered
scattered,Scattered,President / Vice President,pct_6,10,2209,0.4526935264825713,1818,0.5500550055005501,2008,Scattered
blanks,Blanks,President / Vice President,pct_1,8,2304,0.3472222222222222,1845,0.43360433604336046,2012,Blanks
blanks,Blanks,President / Vice President,pct_2,4,2345,0.17057569296375266,1978,0.20222446916076847,2012,Blanks
blanks,Blanks,President / Vice President,pct_3,8,2462,0.3249390739236393,2143,0.3733084461035931,2012,Blanks
blanks,Blanks,President / Vice President,pct_4,6,2551,0.2352018816150529,2149,0.2791996277338297,2012,Blanks
blanks,Blanks,President / Vice President,pct_5,8,2511,0.31859816806053365,2071,0.386286817962337,2012,Blanks
blanks,Blanks,President / Vice President,pct_6,5,2230,0.2242152466367713,1836,0.27233115468409586,2012,Blanks
"johnson,and,gray",Johnson,President / Vice President,pct_1,18,2304,0.78125,1845,0.975609756097561,2012,Other
