candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
BLANK,select_board,pct_1,0,2815,0,212,0
BLANK,select_board,pct_2,0,2758,0,329,0
BLANK,select_board,pct_3,1,2594,0.03855050115651503,430,0.23255813953488372
BLANK,select_board,pct_4,0,2887,0,399,0
BLANK,select_board,pct_5,2,2731,0.07323324789454412,342,0.5847953216374269
BLANK,select_board,pct_6,0,2427,0,265,0
"HIMAJA,NAGIREDDY",select_board,pct_1,129,2815,4.58259325044405,212,60.84905660377359
"HIMAJA,NAGIREDDY",select_board,pct_2,161,2758,5.83756345177665,329,48.93617021276596
"HIMAJA,NAGIREDDY",select_board,pct_3,225,2594,8.673862760215883,430,52.32558139534884
"HIMAJA,NAGIREDDY",select_board,pct_4,261,2887,9.04052649809491,399,65.41353383458647
"HIMAJA,NAGIREDDY",select_board,pct_5,233,2731,8.53167337971439,342,68.12865497076024
"HIMAJA,NAGIREDDY",select_board,pct_6,185,2427,7.622579316028018,265,69.81132075471697
"FRANCES,J.,OSMAN",select_board,pct_1,78,2815,2.770870337477797,212,36.79245283018868
"FRANCES,J.,OSMAN",select_board,pct_2,162,2758,5.873821609862219,329,49.24012158054711
"FRANCES,J.,OSMAN",select_board,pct_3,199,2594,7.671549730146491,430,46.27906976744186
"FRANCES,J.,OSMAN",select_board,pct_4,137,2887,4.745410460685833,399,34.335839598997495
"FRANCES,J.,OSMAN",select_board,pct_5,106,2731,3.8813621384108385,342,30.994152046783626
"FRANCES,J.,OSMAN",select_board,pct_6,77,2427,3.1726411207251752,265,29.056603773584904
"JON,BENSON",select_board,pct_1,3,2815,0.10657193605683836,212,1.4150943396226416
"JON,BENSON",select_board,pct_2,5,2758,0.18129079042784627,329,1.5197568389057752
"JON,BENSON",select_board,pct_3,5,2594,0.1927525057825752,430,1.1627906976744187
"JON,BENSON",select_board,pct_4,0,2887,0,399,0
"JON,BENSON",select_board,pct_5,0,2731,0,342,0
"JON,BENSON",select_board,pct_6,0,2427,0,265,0
SCATTERED,select_board,pct_1,2,2815,0.07104795737122557,212,0.9433962264150944
SCATTERED,select_board,pct_2,1,2758,0.03625815808556925,329,0.303951367781155
SCATTERED,select_board,pct_3,0,2594,0,430,0
SCATTERED,select_board,pct_4,1,2887,0.034638032559750606,399,0.2506265664160401
SCATTERED,select_board,pct_5,1,2731,0.03661662394727206,342,0.29239766081871343
SCATTERED,select_board,pct_6,3,2427,0.12360939431396785,265,1.1320754716981132
