candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
"vote,count,pct",town_of_acton_final,pct_1,1,2493,0.04011231448054552,4041,0.024746349913387776
"vote,count,pct",town_of_acton_final,pct_2,2,2293,0.08722197993894462,3796,0.052687038988408846
"vote,count,pct",town_of_acton_final,pct_3,3,2503,0.11985617259288853,10769,0.02785773980871019
"vote,count,pct",town_of_acton_final,pct_4,4,2270,0.1762114537444934,9887,0.040457165975523415
"vote,count,pct",town_of_acton_final,pct_5,5,2272,0.22007042253521128,10614,0.04710759374411155
"vote,count,pct",town_of_acton_final,pct_6,6,2209,0.2716161158895428,9969,0.06018657839301836
"machine,totalfinal",town_of_acton_final,pct_1,8,2493,0.3208985158443642,4041,0.1979707993071022
"machine,totalfinal",town_of_acton_final,pct_2,0,2293,0,3796,0
"machine,totalfinal",town_of_acton_final,pct_3,1980,2503,79.10507391130643,10769,18.38610827374872
"machine,totalfinal",town_of_acton_final,pct_4,1876,2270,82.6431718061674,9887,18.97441084252048
"machine,totalfinal",town_of_acton_final,pct_5,2115,2272,93.08978873239437,10614,19.926512153759184
"machine,totalfinal",town_of_acton_final,pct_6,1910,2209,86.46446355817112,9969,19.15939412177751
"hand,count",town_of_acton_final,pct_1,5,2493,0.20056157240272765,4041,0.12373174956693887
"hand,count",town_of_acton_final,pct_2,5,2293,0.2180549498473615,3796,0.13171759747102213
"hand,count",town_of_acton_final,pct_3,5,2503,0.1997602876548142,10769,0.046429566347850316
"hand,count",town_of_acton_final,pct_4,6,2270,0.2643171806167401,9887,0.06068574896328512
"hand,count",town_of_acton_final,pct_5,0,2272,0,10614,0
"hand,count",town_of_acton_final,pct_6,7,2209,0.3168854685377999,9969,0.07021767479185476
oversea,town_of_acton_final,pct_1,9,2493,0.36101083032490977,4041,0.22271714922048996
oversea,town_of_acton_final,pct_2,9,2293,0.39249890972525076,3796,0.23709167544783985
oversea,town_of_acton_final,pct_3,10,2503,0.3995205753096284,10769,0.09285913269570063
oversea,town_of_acton_final,pct_4,2,2270,0.0881057268722467,9887,0.020228582987761708
oversea,town_of_acton_final,pct_5,5,2272,0.22007042253521128,10614,0.04710759374411155
oversea,town_of_acton_final,pct_6,5,2209,0.22634676324128564,9969,0.05015548199418196
"total,voted",town_of_acton_final,pct_1,1994,2493,79.98395507420778,4041,49.34422172729522
"total,voted",town_of_acton_final,pct_2,1890,2293,82.42477104230265,3796,49.78925184404637
"total,voted",town_of_acton_final,pct_3,2130,2503,85.09788254095086,10769,19.778995264184232
"total,voted",town_of_acton_final,pct_4,1918,2270,84.49339207048459,9887,19.399211085263477
"total,voted",town_of_acton_final,pct_5,1885,2272,82.96654929577466,10614,17.759562841530055
"total,voted",town_of_acton_final,pct_6,1818,2209,82.29968311453146,9969,18.23653325308456
