candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_1,6,1930,0.31088082901554404,47,12.76595744680851
overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_2,3,2317,0.1294777729823047,45,6.666666666666667
overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_3,6,2581,0.2324680356450988,1842,0.32573289902280134
overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_4,2,2368,0.08445945945945946,1636,0.12224938875305623
overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_5,5,2399,0.20842017507294708,1633,0.3061849357011635
overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_6,3,1602,0.18726591760299627,47,6.382978723404255
overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_6a,3,740,0.40540540540540543,479,0.6263048016701461
overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_7,2,2074,0.09643201542912247,55,3.6363636363636362
hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_1,41,1930,2.1243523316062176,47,87.2340425531915
hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_2,42,2317,1.812688821752266,45,93.33333333333333
hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_3,63,2581,2.4409143742735373,1842,3.420195439739414
hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_4,59,2368,2.491554054054054,1636,3.606356968215159
hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_5,64,2399,2.6677782409337225,1633,3.919167176974893
hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_6,44,1602,2.746566791510612,47,93.61702127659575
hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_6a,12,740,1.6216216216216217,479,2.5052192066805845
hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_7,53,2074,2.5554484088717455,55,96.36363636363636
blanks,governor_lieutenant_governor,pct_1,11,1930,0.5699481865284974,1072,1.0261194029850746
blanks,governor_lieutenant_governor,pct_2,8,2317,0.3452740612861459,1572,0.5089058524173028
blanks,governor_lieutenant_governor,pct_3,17,2581,0.65865943432778,1783,0.9534492428491307
blanks,governor_lieutenant_governor,pct_4,14,2368,0.5912162162162162,1581,0.8855154965211892
blanks,governor_lieutenant_governor,pct_5,18,2399,0.7503126302626094,1571,1.1457670273711011
blanks,governor_lieutenant_governor,pct_6,9,1602,0.5617977528089888,1090,0.8256880733944955
blanks,governor_lieutenant_governor,pct_6a,2,740,0.2702702702702703,467,0.4282655246252677
blanks,governor_lieutenant_governor,pct_7,15,2074,0.7232401157184185,1224,1.2254901960784315
diehl,governor_lieutenant_governor,pct_1,257,1930,13.316062176165802,1072,23.973880597014926
diehl,governor_lieutenant_governor,pct_2,361,2317,15.580492015537335,1572,22.96437659033079
diehl,governor_lieutenant_governor,pct_3,355,2581,13.754358775668345,1783,19.910263600673023
diehl,governor_lieutenant_governor,pct_4,290,2368,12.246621621621621,1581,18.34282099936749
diehl,governor_lieutenant_governor,pct_5,306,2399,12.755314714464362,1571,19.478039465308722
diehl,governor_lieutenant_governor,pct_6,220,1602,13.732833957553058,1090,20.18348623853211
diehl,governor_lieutenant_governor,pct_6a,72,740,9.72972972972973,467,15.417558886509635
diehl,governor_lieutenant_governor,pct_7,293,2074,14.127290260366443,1224,23.937908496732028
healey,governor_lieutenant_governor,pct_1,782,1930,40.51813471502591,1072,72.94776119402985
healey,governor_lieutenant_governor,pct_2,1177,2317,50.79844626672422,1572,74.87277353689568
healey,governor_lieutenant_governor,pct_3,1381,2581,53.506392870980235,1783,77.45372966909703
healey,governor_lieutenant_governor,pct_4,1252,2368,52.87162162162162,1581,79.19038583175205
healey,governor_lieutenant_governor,pct_5,1221,2399,50.896206752813676,1571,77.72119669000637
healey,governor_lieutenant_governor,pct_6,841,1602,52.49687890137328,1090,77.1559633027523
healey,governor_lieutenant_governor,pct_6a,379,740,51.21621621621622,467,81.15631691648822
healey,governor_lieutenant_governor,pct_7,903,2074,43.5390549662488,1224,73.77450980392157
reed,governor_lieutenant_governor,pct_1,21,1930,1.0880829015544042,1072,1.9589552238805972
reed,governor_lieutenant_governor,pct_2,23,2317,0.9926629261976695,1572,1.4631043256997456
reed,governor_lieutenant_governor,pct_3,29,2581,1.1235955056179776,1783,1.6264722378014584
reed,governor_lieutenant_governor,pct_4,24,2368,1.0135135135135136,1581,1.5180265654648957
