candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
pct,town_of_acton_annual_town_election_preliminary,Pct,pct_1,1,1890,0.052910052910052914,347,0.2881844380403458
pct,town_of_acton_annual_town_election_preliminary,Pct,pct_2,2,2346,0.08525149190110827,586,0.3412969283276451
pct,town_of_acton_annual_town_election_preliminary,Pct,pct_3,3,2582,0.11618900077459333,2158,0.13901760889712697
pct,town_of_acton_annual_town_election_preliminary,Pct,pct_4,4,2383,0.1678556441460344,2928,0.1366120218579235
pct,town_of_acton_annual_town_election_preliminary,Pct,pct_5,5,2384,0.20973154362416108,4514,0.11076650420912715
pct,town_of_acton_annual_town_election_preliminary,Pct,pct_6,12,2343,0.5121638924455826,6060,0.19801980198019803
pct,town_of_acton_annual_town_election_preliminary,Pct,pct_7,7,2038,0.34347399411187435,1972,0.35496957403651114
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,pct_1,130,1890,6.878306878306878,347,37.46397694524496
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,pct_2,292,2346,12.446717817561808,586,49.829351535836174
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,pct_3,531,2582,20.56545313710302,2158,24.606116774791474
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,pct_4,387,2383,16.24003357112883,2928,13.217213114754097
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,pct_5,333,2384,13.968120805369127,4514,7.377049180327869
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,pct_6,326,2343,13.913785744771658,6060,5.37953795379538
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,pct_7,189,2038,9.27379784102061,1972,9.584178498985802
"total,voted",town_of_acton_annual_town_election_preliminary,Total,pct_1,130,1890,6.878306878306878,347,37.46397694524496
"total,voted",town_of_acton_annual_town_election_preliminary,Total,pct_2,292,2346,12.446717817561808,586,49.829351535836174
"total,voted",town_of_acton_annual_town_election_preliminary,Total,pct_3,531,2582,20.56545313710302,2158,24.606116774791474
"total,voted",town_of_acton_annual_town_election_preliminary,Total,pct_4,387,2383,16.24003357112883,2928,13.217213114754097
"total,voted",town_of_acton_annual_town_election_preliminary,Total,pct_5,333,2384,13.968120805369127,4514,7.377049180327869
"total,voted",town_of_acton_annual_town_election_preliminary,Total,pct_6,326,2343,13.913785744771658,6060,5.37953795379538
"total,voted",town_of_acton_annual_town_election_preliminary,Total,pct_7,189,2038,9.27379784102061,1972,9.584178498985802
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,pct_1,1890,1890,100,1890,100
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,pct_2,2346,2346,100,2346,100
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,pct_3,2582,2582,100,2582,100
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,pct_4,2383,2383,100,2383,100
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,pct_5,2384,2384,100,2384,100
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,pct_6,2343,2343,100,2343,100
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,pct_7,2038,2038,100,2038,100
blank,moderator,Blanks,pct_1,15,1890,0.7936507936507936,130,11.538461538461538
blank,moderator,Blanks,pct_2,55,2346,2.3444160272804773,292,18.835616438356166
blank,moderator,Blanks,pct_3,93,2582,3.601859024012394,531,17.51412429378531
blank,moderator,Blanks,pct_4,68,2383,2.853545950482585,387,17.571059431524546
blank,moderator,Blanks,pct_5,37,2384,1.552013422818792,333,11.11111111111111
blank,moderator,Blanks,pct_6,57,2343,2.4327784891165174,326,17.484662576687114
blank,moderator,Blanks,pct_7,33,2038,1.619234543670265,189,17.46031746031746
"joann,m.,berry",moderator,Joann,pct_1,114,1890,6.031746031746032,130,87.6923076923077
"joann,m.,berry",moderator,Joann,pct_2,236,2346,10.059676044330775,292,80.82191780821918
"joann,m.,berry",moderator,Joann,pct_3,434,2582,16.80867544539117,531,81.73258003766477
"joann,m.,berry",moderator,Joann,pct_4,319,2383,13.386487620646244,387,82.42894056847545
"joann,m.,berry",moderator,Joann,pct_5,293,2384,12.290268456375838,333,87.98798798798799
"joann,m.,berry",moderator,Joann,pct_6,267,2343,11.395646606914212,326,81.90184049079755
"joann,m.,berry",moderator,Joann,pct_7,155,2038,7.60549558390579,189,82.01058201058201
"write,in",moderator,Write,pct_1,1,1890,0.052910052910052914,130,0.7692307692307693
"write,in",moderator,Write,pct_2,1,2346,0.042625745950554135,292,0.3424657534246575
"write,in",moderator,Write,pct_3,4,2582,0.1549186676994578,531,0.7532956685499058
"write,in",moderator,Write,pct_4,0,2383,0,387,0
"write,in",moderator,Write,pct_5,3,2384,0.12583892617449663,333,0.9009009009009009
"write,in",moderator,Write,pct_6,2,2343,0.08536064874093044,326,0.6134969325153374
"write,in",moderator,Write,pct_7,1,2038,0.04906771344455348,189,0.5291005291005291
blank,select_board,Blanks,pct_1,35,1890,1.8518518518518516,260,13.461538461538462
blank,select_board,Blanks,pct_2,66,2346,2.813299232736573,584,11.301369863013697
blank,select_board,Blanks,pct_3,125,2582,4.841208365608056,1062,11.770244821092279
blank,select_board,Blanks,pct_4,89,2383,3.7347880822492656,774,11.498708010335918
blank,select_board,Blanks,pct_5,71,2384,2.978187919463087,666,10.66066066066066
blank,select_board,Blanks,pct_6,76,2343,3.243704652155356,652,11.65644171779141
blank,select_board,Blanks,pct_7,56,2038,2.747791952894995,378,14.814814814814813
"james,snyder,grant",select_board,James,pct_1,87,1890,4.603174603174604,260,33.46153846153846
"james,snyder,grant",select_board,James,pct_2,189,2346,8.05626598465473,584,32.36301369863014
"james,snyder,grant",select_board,James,pct_3,354,2582,13.710302091402014,1062,33.33333333333333
"james,snyder,grant",select_board,James,pct_4,246,2383,10.323122114981116,774,31.782945736434108
"james,snyder,grant",select_board,James,pct_5,199,2384,8.34731543624161,666,29.87987987987988
"james,snyder,grant",select_board,James,pct_6,185,2343,7.895860008536065,652,28.37423312883436
"james,snyder,grant",select_board,James,pct_7,118,2038,5.789990186457311,378,31.216931216931215
"alissa,nicol",select_board,Alissa,pct_1,74,1890,3.9153439153439153,260,28.46153846153846
"alissa,nicol",select_board,Alissa,pct_2,162,2346,6.905370843989769,584,27.73972602739726
