candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct,ward,wp_distric,wp_name,town,town_id,pop_2020,area_miles,perimeter,shape_area,shape_len
pct,town_of_acton_annual_town_election_preliminary,Pct,1,1,1890,0.0529100529100529,347,0.288184438040346,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
pct,town_of_acton_annual_town_election_preliminary,Pct,2,2,2346,0.0852514919011083,586,0.341296928327645,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
pct,town_of_acton_annual_town_election_preliminary,Pct,3,3,2582,0.116189000774593,2158,0.139017608897127,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
pct,town_of_acton_annual_town_election_preliminary,Pct,4,4,2383,0.167855644146034,2928,0.136612021857924,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
pct,town_of_acton_annual_town_election_preliminary,Pct,5,5,2384,0.209731543624161,4514,0.110766504209127,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
pct,town_of_acton_annual_town_election_preliminary,Pct,6,12,2343,0.512163892445583,6060,0.198019801980198,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
pct,town_of_acton_annual_town_election_preliminary,Pct,7,7,2038,0.343473994111874,1972,0.354969574036511,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,1,130,1890,6.87830687830688,347,37.463976945245,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,2,292,2346,12.4467178175618,586,49.8293515358362,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,3,531,2582,20.565453137103,2158,24.6061167747915,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,4,387,2383,16.2400335711288,2928,13.2172131147541,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,5,333,2384,13.9681208053691,4514,7.37704918032787,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,6,326,2343,13.9137857447717,6060,5.37953795379538,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"machine,totalfinal",town_of_acton_annual_town_election_preliminary,Machine,7,189,2038,9.27379784102061,1972,9.5841784989858,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"total,voted",town_of_acton_annual_town_election_preliminary,Total,1,130,1890,6.87830687830688,347,37.463976945245,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"total,voted",town_of_acton_annual_town_election_preliminary,Total,2,292,2346,12.4467178175618,586,49.8293515358362,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"total,voted",town_of_acton_annual_town_election_preliminary,Total,3,531,2582,20.565453137103,2158,24.6061167747915,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"total,voted",town_of_acton_annual_town_election_preliminary,Total,4,387,2383,16.2400335711288,2928,13.2172131147541,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"total,voted",town_of_acton_annual_town_election_preliminary,Total,5,333,2384,13.9681208053691,4514,7.37704918032787,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"total,voted",town_of_acton_annual_town_election_preliminary,Total,6,326,2343,13.9137857447717,6060,5.37953795379538,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"total,voted",town_of_acton_annual_town_election_preliminary,Total,7,189,2038,9.27379784102061,1972,9.5841784989858,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,1,1890,1890,100,1890,100,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,2,2346,2346,100,2346,100,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,3,2582,2582,100,2582,100,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,4,2383,2383,100,2383,100,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,5,2384,2384,100,2384,100,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"totalregistered,voters",_registered_voters_1890_2346_2582_2383_2384_1611_732_2038_15966,Totalregistered,6,2343,2343,100,2343,100,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
