pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,candidate,election_name
1,2,3,4,5,6,"vote,count,pct",town_of_acton_final
9,0,452,381,350,422,machine,town_of_acton_final
12,0,978,853,1029,923,machine,town_of_acton_final
3,0,1372,1262,1479,1369,machine,town_of_acton_final
6,0,1709,1667,1861,1691,machine,town_of_acton_final
8,0,1980,1876,2115,1910,"machine,totalfinal",town_of_acton_final
5,5,5,6,0,7,"hand,count",town_of_acton_final
9,9,10,2,5,5,oversea,town_of_acton_final
1994,1890,2130,1918,1885,1818,"total,voted",town_of_acton_final
2493,2293,2503,2270,2272,2209,"totalregistered,voters",total_registered_voters_2493_2293_2503_2270_2272_2209_14040
5,8,4,7,4,6,blanks,president_vice_president
3,0,3,0,1,0,baldwin,president_vice_president
13,7,13,11,11,16,barr,president_vice_president
592,593,666,527,484,615,mccain,president_vice_president
4,3,2,4,4,1,mckinney,president_vice_president
15,10,10,18,15,11,nader,president_vice_president
1351,1260,1424,1342,1358,1159,obama,president_vice_president
11,9,8,9,8,10,scattered,president_vice_president
1994,1890,2130,1918,1885,1818,total,president_vice_president
59,39,46,38,50,42,blanks,senator_in_congress
1295,1242,1397,1320,1274,1153,"john,f.,kerry",senator_in_congress
594,563,638,506,513,568,"jeffrey,k.,beatty",senator_in_congress
44,43,49,54,48,54,"robert,j.,underwood",senator_in_congress
2,3,0,0,0,1,scattered,senator_in_congress
1994,1890,2130,1918,1885,1818,total,senator_in_congress
453,425,506,404,390,413,blanks,representative_in_congress
1296,1436,1582,1478,1468,1355,"nicola,s.,tsongas",representative_in_congress
45,29,42,36,27,50,scattered,representative_in_congress
1794,1890,2130,1918,1885,1818,total,representative_in_congress
677,650,736,637,605,664,blanks,councillor
1295,1224,1364,1258,1269,1126,"marilyn,m.,petitto",councillor
22,16,30,23,11,28,scattered,councillor
1994,1890,2130,1918,1885,1818,total,councillor
168,122,86,74,101,102,blanks,senator_in_general_court
1267,1245,1474,1377,1327,1172,"james,b.,eldridge",senator_in_general_court
557,521,566,467,453,542,"steven,l.,levy",senator_in_general_court
2,2,4,0,4,2,scattered,senator_in_general_court
1994,1890,2130,1918,1885,1818,total,senator_in_general_court
291,215,0,0,0,212,blanks,rep_in_general_court_14th_pct_126
1109,1110,0,0,0,1034,"cory,atkins",rep_in_general_court_14th_pct_126
590,556,0,0,0,559,"richard,p.,mcclure",rep_in_general_court_14th_pct_126
4,9,0,0,0,13,scattered,rep_in_general_court_14th_pct_126
1994,1890,0,0,0,1818,total,rep_in_general_court_14th_pct_126
0,0,133,133,175,0,blanks,rep_in_general_court_37th_pct_345
0,0,1163,1072,1023,0,"jennifer,e.,benson",rep_in_general_court_37th_pct_345
0,0,828,708,686,0,"kurt,hayes",rep_in_general_court_37th_pct_345
0,0,6,5,1,0,scattered,rep_in_general_court_37th_pct_345
0,0,2130,1918,1885,0,total,rep_in_general_court_37th_pct_345
708,659,747,639,612,682,blanks,register_of_probate
1264,1213,1358,1257,1262,1106,"tara,e.,decristofara",register_of_probate
22,18,25,22,11,30,scattered,register_of_probate
1994,1890,2130,1918,1885,1818,total,register_of_probate
70,44,41,36,42,37,blanks,question_1_income_tax
656,540,596,502,503,548,yes,question_1_income_tax
1268,1306,1493,1380,1340,1233,no,question_1_income_tax
1994,1890,2130,1918,1885,1818,total,question_1_income_tax
68,40,41,32,30,27,blanks,question_2_marijuana
1285,1242,1453,1287,1305,1202,yes,question_2_marijuana
641,608,636,599,550,589,no,question_2_marijuana
1994,1890,2130,1918,1885,1818,total,question_2_marijuana
80,55,48,54,37,38,blanks,town_of_acton_final
1306,1201,1349,1238,1267,1194,yes,town_of_acton_final
608,634,733,626,581,586,no,town_of_acton_final
1994,1890,2130,1918,1885,1818,total,town_of_acton_final
0,0,281,223,254,0,blanks,question_4_rainy_day_fund
0,0,973,934,945,0,yes,question_4_rainy_day_fund
0,0,876,761,686,0,no,question_4_rainy_day_fund
0,0,2130,1918,1885,0,total,question_4_rainy_day_fund
